YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1951    2.53    4.11    5.22   10.51   14.75   19.15   20.18   20.86   18.35    9.98    8.41    2.01    2.52   10.16   20.06   12.25   11.25
1952   -1.56   -1.61    4.01   12.92   14.96   19.54   22.29   21.50   14.37   10.76    4.30    0.12   -0.39   10.63   21.11    9.81   10.29
1953   -1.47    0.36    5.80   11.74   14.94   18.40   21.14   18.65   17.03   13.29    4.04    1.75   -0.33   10.83   19.40   11.45   10.34
1954   -4.72   -3.19    6.64    9.17   14.00   19.38   18.56   18.97   17.46   10.59    5.10    3.74   -2.05    9.94   18.97   11.05    9.48
1955    1.61    3.33    2.45    9.05   13.22   17.55   20.16   19.08   16.14   10.56    4.37    3.04    2.89    8.24   18.93   10.36   10.11
1956    2.43   -7.10    3.39    8.87   15.40   17.10   20.57   19.87   17.08   11.07    3.06    0.09   -0.54    9.22   19.18   10.40    9.57
1957   -1.97    5.29    7.89   10.34   12.11   19.77   20.67   18.85   15.37   11.25    6.73    2.18    1.14   10.11   19.76   11.12   10.53
1958   -1.73    3.84    2.92    8.02   17.92   17.87   20.61   20.52   16.42   11.98    7.04    3.42    1.43    9.62   19.67   11.81   10.63
1959    1.17    0.17    8.48   10.95   14.70   18.42   21.55   19.47   14.92    9.87    5.68    4.21    1.59   11.38   19.81   10.16   10.73
1960    0.08    1.73    6.14   10.53   15.19   19.04   18.82   19.81   14.88   12.80    7.49    3.43    2.01   10.62   19.22   11.72   10.89
1961   -1.30    3.99    8.46   13.82   14.29   19.59   19.16   19.76   18.46   13.23    6.79   -0.26    2.04   12.19   19.50   12.83   11.64
1962    0.86    1.86    2.74   10.52   13.86   16.52   18.77   21.49   15.80   11.58    4.78   -2.66    0.82    9.04   18.93   10.72    9.88
1963   -5.62   -2.26    4.33   11.75   14.88   18.76   21.27   20.53   17.71   11.41   10.54   -2.15   -3.51   10.32   20.19   13.22   10.05
1964   -4.89    1.01    4.27   11.62   15.61   20.54   20.62   19.23   16.68   10.73    7.13    0.87   -2.01   10.50   20.13   11.51   10.03
1965   -0.02   -1.43    5.97    9.26   13.88   18.71   19.88   18.05   16.13   10.66    4.44    1.50   -0.19    9.70   18.88   10.41    9.70
1966   -2.80    7.44    5.81   12.48   15.34   19.89   19.28   18.81   17.43   15.18    3.52    1.68    2.05   11.21   19.33   12.04   11.16
1967   -1.01    2.42    8.03    9.48   15.85   17.99   22.11   20.62   17.68   13.38    6.11   -0.27    1.03   11.12   20.24   12.39   11.20
1968   -2.88    4.03    7.09   12.75   15.27   18.34   20.14   18.95   16.24   12.72    6.04   -2.14    0.29   11.70   19.14   11.67   10.70
1969   -1.03   -0.10    4.55   10.14   17.04   17.70   20.61   18.99   17.15   11.83    8.17   -2.24   -1.09   10.58   19.10   12.38   10.24
1970    0.70    1.48    4.04    9.20   13.24   19.68   19.80   20.60   17.09   10.95    7.65    0.05   -0.02    8.83   20.03   11.90   10.18
1971   -0.68    3.34    3.37   11.53   16.17   17.64   21.13   22.01   14.24   10.34    5.09   -0.38    0.90   10.36   20.26    9.89   10.35
1972   -1.30    3.49    8.36   10.75   14.58   18.87   20.62   19.57   13.41    9.77    5.40    0.94    0.60   11.23   19.69    9.53   10.26
1973    0.35    1.90    6.28    8.50   16.10   18.94   20.43   20.34   17.20    9.35    4.04    0.80    1.06   10.29   19.90   10.20   10.36
1974    2.08    6.46    8.13    9.76   14.59   16.87   20.04   21.43   16.64    7.33    6.47    2.73    3.11   10.83   19.45   10.15   10.88
1975    4.85    3.09    6.67   10.47   16.33   17.29   20.73   19.97   19.05   11.13    4.83    0.46    3.56   11.16   19.33   11.67   11.43
1976    0.85    1.19    3.13   10.46   15.41   19.06   21.23   17.27   15.15   11.91    7.32    0.67    0.83    9.67   19.19   11.46   10.29
1977    2.38    5.10    8.98    9.03   14.68   18.72   19.84   18.97   14.40   12.55    6.07    0.47    2.72   10.90   19.18   11.01   10.95
1978    1.06    1.49    7.73    9.11   13.24   17.32   18.49   18.61   15.57   11.10    1.97    0.43    1.01   10.03   18.14    9.55    9.68
1979   -1.55    2.71    7.67    9.58   15.24   20.32   19.43   18.79   16.27   10.40    5.26    3.13    0.53   10.83   19.51   10.64   10.38
1980   -0.79    4.25    6.27    8.64   12.97   17.51   19.09   20.74   16.77   10.86    3.09   -1.79    2.20    9.29   19.11   10.24   10.21
1981   -3.24    0.58    8.38   11.30   14.74   19.04   20.08   19.87   17.38   13.14    4.95    0.48   -1.48   11.47   19.66   11.82   10.37
1982   -1.19    0.06    5.61    9.01   15.51   19.61   21.62   20.84   19.26   12.24    6.35    4.28   -0.22   10.04   20.69   12.62   10.78
1983    2.01   -0.70    6.80   12.36   15.82   18.66   23.37   20.72   17.08   11.35    2.57    1.01    1.86   11.66   20.92   10.33   11.19
1984   -0.09    1.06    5.06    9.68   13.41   17.83   19.69   19.23   16.10   12.75    5.98    1.84    0.66    9.38   18.92   11.61   10.14
1985   -4.64   -1.56    4.88    9.98   15.91   17.43   21.81   20.74   17.72   11.08    3.14    4.38   -1.45   10.26   19.99   10.65    9.86
1986    0.63   -1.99    3.74   10.84   18.42   18.18   20.13   21.33   16.01   11.63    6.15   -0.82    1.01   11.00   19.88   11.26   10.79
1987   -2.80    1.15    1.81   11.49   13.99   18.37   21.89   19.69   19.69   12.36    5.15    1.72   -0.82    9.10   19.98   12.40   10.16
1988    4.38    4.15    5.91   10.71   15.92   18.09   22.32   21.59   16.73   12.58    1.52    0.43    3.42   10.85   20.67   10.28   11.30
1989    0.20    4.97    9.10   11.58   15.12   17.34   21.05   20.33   16.48   11.31    4.00    2.74    1.87   11.93   19.57   10.60   10.99
1990    0.13    6.62    9.06    9.44   16.40   17.93   20.27   20.52   14.94   12.14    5.74    0.71    3.16   11.63   19.57   10.94   11.33
1991    1.08   -0.62    8.98    9.75   12.43   18.21   22.06   21.42   18.14   10.30    5.59   -1.69    0.39   10.39   20.56   11.34   10.67
1992    1.20    3.77    6.99   11.09   16.18   18.78   21.54   24.32   17.22   10.23    7.07    0.85    1.09   11.42   21.55   11.51   11.39
1993    1.50    1.56    6.28   11.53   17.71   19.73   20.60   21.55   15.85   12.42    3.08    2.53    1.30   11.84   20.63   10.45   11.06
1994    3.81    3.08   11.06   10.54   15.68   19.63   23.03   22.83   18.24    9.87    8.24    2.69    3.14   12.43   21.83   12.12   12.38
1995    1.71    4.98    5.61   11.61   15.46   17.57   23.05   20.16   15.52   13.22    5.80    1.72    3.13   10.89   20.26   11.51   11.45
1996   -0.32   -0.43    3.83   10.95   16.46   19.91   19.28   20.26   14.01   11.68    8.15   -0.58    0.32   10.41   19.82   11.28   10.46
1997   -0.10    4.43    7.89    9.03   16.46   19.67   20.72   20.97   17.51   10.18    5.82    2.87    1.25   11.13   20.45   11.17   11.00
1998    3.63    5.99    6.19   11.67   16.00   21.14   21.93   22.02   16.47   12.14    3.88   -2.72    4.16   11.29   21.70   10.83   11.99
1999    0.96    1.38    8.29   12.13   17.16   19.49   21.40   21.03   19.01   12.74    3.75    1.11   -0.13   12.53   20.64   11.83   11.22
2000   -0.96    4.64    8.03   14.09   17.24   20.80   20.40   22.47   17.17   13.72    9.01    5.11    1.60   13.12   21.22   13.30   12.31
2001    3.62    5.18    9.40   10.34   17.61   18.56   22.25   23.21   14.59   14.91    4.25   -1.83    4.64   12.45   21.34   11.25   12.42
2002   -0.26    5.38    9.20   10.67   17.33   20.96   21.72   21.13   15.83   12.04    9.69    2.71    1.10   12.40   21.27   12.52   11.82
2003   -0.49   -0.56    7.78   10.31   18.25   23.84   22.91   24.89   16.16    9.39    8.51    2.46    0.55   12.11   23.88   11.35   11.98
2004   -0.16    2.73    5.31   11.11   14.22   19.16   21.10   21.37   16.37   13.62    6.25    1.80    1.68   10.21   20.54   12.08   11.13
2005    0.64    0.16    5.97   10.94   16.27   20.07   21.47   18.89   17.34   12.36    5.50    0.44    0.87   11.06   20.14   11.73   10.95
2006   -1.52    0.97    4.76   11.88   15.79   20.20   23.86   18.38   18.24   14.14    9.13    4.86   -0.04   10.81   20.81   13.84   11.36
2007    5.27    6.22    8.68   14.50   17.62   21.24   22.03   20.86   15.17   11.21    5.53    0.42    5.45   13.60   21.38   10.64   12.77
2008    2.76    4.78    6.60   11.08   16.84   20.61   21.76   21.33   15.74   12.60    6.80    2.20    2.65   11.51   21.23   11.71   11.78
2009   -1.39    2.62    7.12   13.46   18.28   18.95   21.56   22.63   18.14   11.45    7.78    2.22    1.14   12.95   21.05   12.46   11.90
2010   -1.21    1.54    6.53   11.59   15.64   20.12   23.18   20.88   15.33   10.00    8.25   -0.36    0.85   11.25   21.39   11.19   11.17
2011    1.62    2.01    7.04   13.48   16.65   20.16   21.21   22.97   20.14   10.66    4.08    3.41    1.09   12.39   21.45   11.63   11.64
2012    1.87   -0.64   10.17   11.60   16.43   21.23   23.19   23.67   17.55   12.56    9.10    0.95    1.55   12.73   22.70   13.07   12.51
2013    2.22    1.11    4.29   12.28   15.36   19.91   23.46   22.78   16.75   13.51    7.59    3.21    1.43   10.64   22.05   12.62   11.68
2014    5.55    4.71   10.11   13.54   15.96   20.36   21.18   20.22   16.99   14.44    9.13    4.01    4.49   13.20   20.59   13.52   12.95
2015    3.07    2.69    7.82   11.85   16.95   20.35   24.55   22.65   16.95   11.50    7.80    2.99    3.26   12.21   22.52   12.08   12.52
2016    1.34    5.79    7.64   12.47   15.64   20.24   23.44   21.14   18.99   10.79    7.44    0.42    3.37   11.60   21.61   12.41   12.25
2017   -3.08    4.87   10.22   12.32   16.97   21.92   23.07   23.20   15.07   12.77    6.42    2.01    0.74   13.17   22.59   11.42   11.98
2018    4.81    0.41    4.91   15.41   18.31   21.16   22.46   23.26   18.41   13.81    8.45    2.45    2.41   12.88   22.29   13.56   12.78
2019    0.90    5.45    9.15   11.75   13.22   23.20   23.05   22.90   17.45      NA      NA      NA    2.93   11.37   23.05      NA   12.59
